"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Mean Sale Price","2010 January","All Dwelling Statuses","V35: Kilmallock","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","180125"
"Mean Sale Price","2010 January","All Dwelling Statuses","V42: Newcastle West","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","227000"
"Mean Sale Price","2010 January","All Dwelling Statuses","V92: Tralee","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","175143"
"Mean Sale Price","2010 January","All Dwelling Statuses","V93: Killarney","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","170454"
"Mean Sale Price","2010 January","All Dwelling Statuses","V94: Limerick","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","189535"
"Mean Sale Price","2010 January","All Dwelling Statuses","V95: Ennis","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","198410"
"Mean Sale Price","2010 January","All Dwelling Statuses","W12: Newbridge","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","217100"
"Mean Sale Price","2010 January","All Dwelling Statuses","W23: Celbridge","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","330445"
"Mean Sale Price","2010 January","All Dwelling Statuses","W34: Monasterevin","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","W91: Naas","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","252505"
"Mean Sale Price","2010 January","All Dwelling Statuses","X35: Dungarvan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","230000"
"Mean Sale Price","2010 January","All Dwelling Statuses","X42: Kilmacthomas","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","X91: Waterford","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","197743"
"Mean Sale Price","2010 January","All Dwelling Statuses","Y14: Arklow","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","183896"
"Mean Sale Price","2010 January","All Dwelling Statuses","Y21: Enniscorthy","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","161088"
"Mean Sale Price","2010 January","All Dwelling Statuses","Y25: Gorey","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","189675"
"Mean Sale Price","2010 January","All Dwelling Statuses","Y34: New Ross","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 January","All Dwelling Statuses","Y35: Wexford","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","164761"
"Mean Sale Price","2010 February","All Dwelling Statuses","A41: Ballyboughal","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 February","All Dwelling Statuses","A42: Garristown","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 February","All Dwelling Statuses","A45: Oldtown","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 February","All Dwelling Statuses","A63: Greystones","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","376373"
"Mean Sale Price","2010 February","All Dwelling Statuses","A67: Wicklow","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","273271"
"Mean Sale Price","2010 February","All Dwelling Statuses","A75: Castleblaney","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","115225"
"Mean Sale Price","2010 February","All Dwelling Statuses","A81: Carrickmacross","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","217685"
"Mean Sale Price","2010 February","All Dwelling Statuses","A82: Kells","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","156456"
"Mean Sale Price","2010 February","All Dwelling Statuses","A83: Enfield","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","310000"
"Mean Sale Price","2010 February","All Dwelling Statuses","A84: Ashbourne","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","283797"
"Mean Sale Price","2010 February","All Dwelling Statuses","A85: Dunshaughlin","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","202000"
"Mean Sale Price","2010 February","All Dwelling Statuses","A86: Dunboyne","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 February","All Dwelling Statuses","A91: Dundalk","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","215947"
"Mean Sale Price","2010 February","All Dwelling Statuses","A92: Drogheda","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","193045"
"Mean Sale Price","2010 February","All Dwelling Statuses","A94: Blackrock","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","617333"
"Mean Sale Price","2010 February","All Dwelling Statuses","A96: Glenageary","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","375436"
"Mean Sale Price","2010 February","All Dwelling Statuses","A98: Bray","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","244926"
"Mean Sale Price","2010 February","All Dwelling Statuses","C15: Navan","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","206592"
"Mean Sale Price","2010 February","All Dwelling Statuses","D01: Dublin 1","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","272413"
"Mean Sale Price","2010 February","All Dwelling Statuses","D02: Dublin 2","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","323475"
"Mean Sale Price","2010 February","All Dwelling Statuses","D03: Dublin 3","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","230475"
"Mean Sale Price","2010 February","All Dwelling Statuses","D04: Dublin 4","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","418000"
"Mean Sale Price","2010 February","All Dwelling Statuses","D05: Dublin 5","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","311200"
"Mean Sale Price","2010 February","All Dwelling Statuses","D06: Dublin 6","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","484500"
"Mean Sale Price","2010 February","All Dwelling Statuses","D07: Dublin 7","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","238667"
"Mean Sale Price","2010 February","All Dwelling Statuses","D08: Dublin 8","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","267347"
"Mean Sale Price","2010 February","All Dwelling Statuses","D09: Dublin 9","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","278426"
"Mean Sale Price","2010 February","All Dwelling Statuses","D10: Dublin 10","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","150833"
"Mean Sale Price","2010 February","All Dwelling Statuses","D11: Dublin 11","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","208207"
"Mean Sale Price","2010 February","All Dwelling Statuses","D12: Dublin 12","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","267273"
"Mean Sale Price","2010 February","All Dwelling Statuses","D13: Dublin 13","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","242280"
"Mean Sale Price","2010 February","All Dwelling Statuses","D14: Dublin 14","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","365106"
"Mean Sale Price","2010 February","All Dwelling Statuses","D15: Dublin 15","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","256959"
"Mean Sale Price","2010 February","All Dwelling Statuses","D16: Dublin 16","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","333714"
"Mean Sale Price","2010 February","All Dwelling Statuses","D17: Dublin 17","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","205313"
"Mean Sale Price","2010 February","All Dwelling Statuses","D18: Dublin 18","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","348220"
"Mean Sale Price","2010 February","All Dwelling Statuses","D20: Dublin 20","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","233333"
"Mean Sale Price","2010 February","All Dwelling Statuses","D22: Dublin 22","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","215012"
"Mean Sale Price","2010 February","All Dwelling Statuses","D24: Dublin 24","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","258335"
"Mean Sale Price","2010 February","All Dwelling Statuses","D6W: Dublin 6W","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","357000"
"Mean Sale Price","2010 February","All Dwelling Statuses","E21: Cahir","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 February","All Dwelling Statuses","E25: Cashel","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","120000"
"Mean Sale Price","2010 February","All Dwelling Statuses","E32: Carrick-on-Suir","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","175000"
"Mean Sale Price","2010 February","All Dwelling Statuses","E34: Tipperary","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 February","All Dwelling Statuses","E41: Thurles","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","105500"
"Mean Sale Price","2010 February","All Dwelling Statuses","E45: Nenagh","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","213981"
"Mean Sale Price","2010 February","All Dwelling Statuses","E53: Roscrea","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","205900"
"Mean Sale Price","2010 February","All Dwelling Statuses","E91: Clonmel","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","156000"
"Mean Sale Price","2010 February","All Dwelling Statuses","F12: Claremorris","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","155353"
"Mean Sale Price","2010 February","All Dwelling Statuses","F23: Castlebar","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","216250"
"Mean Sale Price","2010 February","All Dwelling Statuses","F26: Ballina","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","167000"
"Mean Sale Price","2010 February","All Dwelling Statuses","F28: Westport","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","205000"
"Mean Sale Price","2010 February","All Dwelling Statuses","F31: Ballinrobe","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro",""
"Mean Sale Price","2010 February","All Dwelling Statuses","F35: Ballyhaunis","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Euro","112500"
